Entrez Id,Gene,Dataset,Dependent Cell Lines,Cell Lines with Data,Strongly Selective,Common Essential
27034,ACAD8,DependencyEnum.RNAi_merged,0.0,708.0,False,False
28976,ACAD9,DependencyEnum.RNAi_merged,11.0,708.0,True,False
33,ACADL,DependencyEnum.RNAi_merged,2.0,708.0,False,False
34,ACADM,DependencyEnum.RNAi_merged,3.0,708.0,False,False
35,ACADS,DependencyEnum.RNAi_merged,2.0,710.0,False,False
36,ACADSB,DependencyEnum.RNAi_merged,1.0,710.0,False,False
37,ACADVL,DependencyEnum.RNAi_merged,2.0,708.0,True,False
176,ACAN,DependencyEnum.RNAi_merged,1.0,551.0,False,False
9744,ACAP1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
23527,ACAP2,DependencyEnum.RNAi_merged,1.0,597.0,False,False
116983,ACAP3,DependencyEnum.RNAi_merged,1.0,597.0,False,False
38,ACAT1,DependencyEnum.RNAi_merged,4.0,710.0,False,False
39,ACAT2,DependencyEnum.RNAi_merged,6.0,547.0,True,False
64746,ACBD3,DependencyEnum.RNAi_merged,1.0,547.0,False,False
79777,ACBD4,DependencyEnum.RNAi_merged,2.0,343.0,True,False
91452,ACBD5,DependencyEnum.RNAi_merged,2.0,710.0,True,False
84320,ACBD6,DependencyEnum.RNAi_merged,2.0,343.0,True,False
84680,ACCS,DependencyEnum.RNAi_merged,0.0,708.0,False,False
390110,ACCSL,DependencyEnum.RNAi_merged,0.0,597.0,False,False
65057,ACD,DependencyEnum.RNAi_merged,0.0,285.0,False,False
1636,ACE,DependencyEnum.RNAi_merged,0.0,547.0,False,False
59272,ACE2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
125981,ACER1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
340485,ACER2,DependencyEnum.RNAi_merged,1.0,547.0,False,False
55331,ACER3,DependencyEnum.RNAi_merged,1.0,547.0,False,False
43,ACHE,DependencyEnum.RNAi_merged,1.0,708.0,False,False
22985,ACIN1,DependencyEnum.RNAi_merged,21.0,708.0,True,False
2532,ACKR1,DependencyEnum.RNAi_merged,4.0,547.0,True,False
1238,ACKR2,DependencyEnum.RNAi_merged,2.0,710.0,False,False
57007,ACKR3,DependencyEnum.RNAi_merged,5.0,710.0,True,False
51554,ACKR4,DependencyEnum.RNAi_merged,0.0,710.0,False,False
47,ACLY,DependencyEnum.RNAi_merged,152.0,708.0,True,False
130013,ACMSD,DependencyEnum.RNAi_merged,2.0,547.0,False,False
48,ACO1,DependencyEnum.RNAi_merged,1.0,710.0,False,False
50,ACO2,DependencyEnum.RNAi_merged,199.0,710.0,False,False
641371,ACOT1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
26027,ACOT11,DependencyEnum.RNAi_merged,14.0,708.0,False,False
134526,ACOT12,DependencyEnum.RNAi_merged,2.0,708.0,True,False
55856,ACOT13,DependencyEnum.RNAi_merged,1.0,547.0,False,False
10965,ACOT2,DependencyEnum.RNAi_merged,0.0,710.0,False,False
122970,ACOT4,DependencyEnum.RNAi_merged,0.0,547.0,False,False
11332,ACOT7,DependencyEnum.RNAi_merged,0.0,547.0,False,False
10005,ACOT8,DependencyEnum.RNAi_merged,93.0,547.0,False,False
23597,ACOT9,DependencyEnum.RNAi_merged,0.0,710.0,False,False
51,ACOX1,DependencyEnum.RNAi_merged,1.0,710.0,False,False
8309,ACOX2,DependencyEnum.RNAi_merged,0.0,708.0,False,False
8310,ACOX3,DependencyEnum.RNAi_merged,2.0,711.0,False,False
55289,ACOXL,DependencyEnum.RNAi_merged,0.0,710.0,False,False
400997,ACOXL-AS1,DependencyEnum.RNAi_merged,0.0,343.0,False,False
52,ACP1,DependencyEnum.RNAi_merged,1.0,547.0,True,False
53,ACP2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
54,ACP5,DependencyEnum.RNAi_merged,0.0,710.0,False,False
51205,ACP6,DependencyEnum.RNAi_merged,0.0,547.0,False,False
390928,ACP7,DependencyEnum.RNAi_merged,10.0,708.0,True,False
55,ACP3,DependencyEnum.RNAi_merged,11.0,547.0,False,False
