PositionID,bChecked,strName,dXPosition,dYPosition,dZPosition,dPFSOffset,row,column,well,field,x,y,well_row_odd,well_row_id,well_column_odd,well_row_order,well_column_order
Point00183,true,D5#3,57500,33100,5212,11765,D,5,D5,3,57500,33100,2,4,2,-4,-5
Point00184,true,D5#4,59300,33100,5212,11765,D,5,D5,4,59300,33100,2,4,2,-4,-5
Point00185,true,D5#5,59300,31300,5212,11765,D,5,D5,5,59300,31300,2,4,2,-4,-5
Point00186,true,D4#1,66500,29500,5212,11765,D,4,D4,1,66500,29500,2,4,1,4,-4
Point00187,true,D4#2,66500,31300,5212,11765,D,4,D4,2,66500,31300,2,4,1,4,-4
Point00188,true,D4#3,66500,33100,5212,11765,D,4,D4,3,66500,33100,2,4,1,4,-4
Point00189,true,D4#4,68300,33100,5212,11765,D,4,D4,4,68300,33100,2,4,1,4,-4
Point00190,true,D4#5,68300,31300,5212,11765,D,4,D4,5,68300,31300,2,4,1,4,-4
Point00191,true,D3#1,75500,29500,5212,11765,D,3,D3,1,75500,29500,2,4,2,-4,-3
Point00192,true,D3#2,75500,31300,5212,11765,D,3,D3,2,75500,31300,2,4,2,-4,-3
Point00193,true,D3#3,75500,33100,5212,11765,D,3,D3,3,75500,33100,2,4,2,-4,-3
Point00194,true,D3#4,77300,33100,5212,11765,D,3,D3,4,77300,33100,2,4,2,-4,-3
Point00195,true,D3#5,77300,31300,5212,11765,D,3,D3,5,77300,31300,2,4,2,-4,-3
Point00196,true,D2#1,84500,29500,5212,11765,D,2,D2,1,84500,29500,2,4,1,4,-2
Point00197,true,D2#2,84500,31300,5212,11765,D,2,D2,2,84500,31300,2,4,1,4,-2
Point00198,true,D2#3,84500,33100,5212,11765,D,2,D2,3,84500,33100,2,4,1,4,-2
Point00199,true,D2#4,86300,33100,5212,11765,D,2,D2,4,86300,33100,2,4,1,4,-2
Point00200,true,D2#5,86300,31300,5212,11765,D,2,D2,5,86300,31300,2,4,1,4,-2
Point00201,true,E2#1,84500,38500,5212,11765,E,2,E2,1,84500,38500,1,5,1,5,2
